school,studytime,gender,G1
GP,2,F,5
GP,2,F,5
GP,2,F,7
GP,3,F,15
GP,2,F,6
GP,2,M,15
GP,2,M,12
GP,2,F,6
GP,2,M,16
GP,2,M,14
GP,2,F,10
GP,3,F,10
GP,1,M,14
GP,2,M,10
GP,3,M,14
GP,1,F,14
GP,3,F,13
GP,2,F,8
GP,1,M,6
GP,1,M,8
GP,2,M,13
GP,1,M,12
GP,2,M,15
GP,2,M,13
GP,3,F,10
GP,1,F,6
GP,1,M,12
GP,1,M,15
GP,2,M,11
GP,2,M,10
GP,2,M,9
GP,2,M,17
GP,2,M,17
GP,2,M,8
GP,1,M,12
GP,1,F,8
GP,3,M,15
GP,3,M,15
GP,3,F,12
GP,1,F,14
GP,2,F,7
GP,1,M,12
GP,2,M,19
GP,1,M,8
GP,2,F,10
GP,2,F,8
GP,2,F,11
GP,4,M,19
GP,2,M,15
GP,2,F,7
GP,2,F,12
GP,2,F,11
GP,1,M,11
GP,1,F,8
GP,1,F,10
GP,2,F,8
GP,2,F,14
GP,2,M,14
GP,2,M,9
GP,2,F,15
GP,2,F,10
GP,1,F,10
GP,2,F,8
GP,3,F,10
GP,2,F,10
GP,2,F,16
GP,4,M,13
GP,4,F,7
GP,2,F,8
GP,4,F,16
GP,4,M,13
GP,4,M,10
GP,2,F,8
GP,1,M,12
GP,2,F,11
GP,2,M,9
GP,4,M,11
GP,4,F,11
GP,1,M,8
GP,2,F,5
GP,1,M,10
GP,3,M,11
GP,2,F,7
GP,2,M,15
GP,2,F,9
GP,2,F,7
GP,2,F,8
GP,3,F,13
GP,2,M,11
GP,2,M,8
GP,3,F,7
GP,1,F,16
GP,2,F,7
GP,2,F,11
GP,4,M,11
GP,4,F,7
GP,1,M,11
GP,2,F,8
GP,1,F,11
GP,3,F,7
GP,1,M,7
GP,3,M,16
GP,1,M,10
GP,2,F,7
GP,2,M,16
GP,4,F,10
GP,4,F,7
GP,3,M,16
GP,4,M,10
GP,3,F,14
GP,1,M,18
GP,3,F,7
GP,2,F,10
GP,1,M,18
GP,2,M,9
GP,2,M,15
GP,2,M,11
GP,1,M,13
GP,2,M,9
GP,1,M,14
GP,2,F,16
GP,4,M,16
GP,2,F,13
GP,1,M,14
GP,2,F,8
GP,1,M,13
GP,2,F,7
GP,2,F,7
GP,1,M,7
GP,1,M,18
GP,3,F,12
GP,1,F,8
GP,1,F,10
GP,1,F,12
GP,2,M,9
GP,3,F,11
GP,2,M,10
GP,1,F,4
GP,2,M,14
GP,1,F,16
GP,4,M,7
GP,1,M,9
GP,3,F,9
GP,1,F,14
GP,1,M,5
GP,2,F,8
GP,2,F,6
GP,2,F,10
GP,1,M,7
GP,1,M,8
GP,1,M,6
GP,1,M,12
GP,3,F,10
GP,1,M,5
GP,1,F,11
GP,2,M,11
GP,1,M,16
GP,1,F,9
GP,1,M,17
GP,2,M,10
GP,1,M,7
GP,2,M,5
GP,1,M,7
GP,1,M,10
GP,2,M,5
GP,1,M,12
GP,2,M,10
GP,2,F,14
GP,2,F,6
GP,2,F,14
GP,1,M,6
GP,2,M,13
GP,2,M,13
GP,2,F,8
GP,2,F,10
GP,2,M,10
GP,2,F,13
GP,2,M,6
GP,1,M,10
GP,2,M,10
GP,2,M,9
GP,2,M,12
GP,2,F,16
GP,2,F,9
GP,2,F,12
GP,2,M,12
GP,1,M,11
GP,2,M,15
GP,2,F,8
GP,2,M,8
GP,2,F,11
GP,2,F,8
GP,2,M,7
GP,1,M,8
GP,1,M,13
GP,2,F,14
GP,1,M,17
GP,1,M,9
GP,1,F,18
GP,2,F,9
GP,2,F,16
GP,2,F,8
GP,2,F,9
GP,1,F,7
GP,4,F,10
GP,3,F,10
GP,2,F,7
GP,2,F,11
GP,1,F,9
GP,3,F,7
GP,4,F,8
GP,2,M,12
GP,2,F,12
GP,2,M,6
GP,1,F,8
GP,2,F,14
GP,2,F,6
GP,2,M,6
GP,1,F,7
GP,3,F,9
GP,2,F,6
GP,3,F,6
GP,2,F,16
GP,2,M,12
GP,3,F,13
GP,2,F,9
GP,2,F,16
GP,2,M,12
GP,2,M,10
GP,3,F,12
GP,2,F,13
GP,2,M,11
GP,2,M,11
GP,2,M,14
GP,2,M,9
GP,3,M,11
GP,2,M,14
GP,1,F,13
GP,2,F,13
GP,2,M,7
GP,2,M,12
GP,2,M,10
GP,1,M,6
GP,1,M,13
GP,3,F,7
GP,1,M,18
GP,1,M,12
GP,1,M,6
GP,2,M,3
GP,1,M,13
GP,1,M,6
GP,2,M,7
GP,1,M,6
GP,1,M,8
GP,1,M,8
GP,1,M,7
GP,4,F,14
GP,2,M,11
GP,2,M,15
GP,4,F,10
GP,2,F,17
GP,2,M,8
GP,3,M,13
GP,3,F,10
GP,3,F,9
GP,2,M,17
GP,2,M,9
GP,2,F,12
GP,2,M,10
GP,2,F,6
GP,2,F,9
GP,4,F,15
GP,2,F,11
GP,2,M,15
GP,2,F,10
GP,2,F,12
GP,2,F,10
GP,1,M,9
GP,2,F,9
GP,1,M,10
GP,1,M,8
GP,1,M,11
GP,4,F,12
GP,2,F,8
GP,2,F,10
GP,2,M,12
GP,3,F,18
GP,3,F,13
GP,3,M,15
GP,2,M,15
GP,2,M,12
GP,3,F,15
GP,2,F,12
GP,4,F,18
GP,3,M,14
GP,1,M,14
GP,2,F,10
GP,2,F,10
GP,4,F,14
GP,1,M,16
GP,2,F,12
GP,1,M,11
GP,3,F,15
GP,4,F,17
GP,2,M,15
GP,2,F,14
GP,1,M,17
GP,1,M,8
GP,2,M,15
GP,2,F,12
GP,2,F,9
GP,2,F,14
GP,2,M,13
GP,2,F,13
GP,3,F,15
GP,3,F,13
GP,2,F,8
GP,3,F,9
GP,3,F,11
GP,2,F,11
GP,2,F,13
GP,2,F,11
GP,3,F,11
GP,3,F,12
GP,3,F,16
GP,3,M,9
GP,1,M,14
GP,1,M,11
GP,3,F,10
GP,3,F,14
GP,4,M,9
GP,3,F,12
GP,2,F,7
GP,2,F,8
GP,4,F,10
GP,3,F,16
GP,3,F,14
GP,2,F,7
GP,4,F,16
GP,2,F,9
GP,3,F,11
GP,2,M,10
GP,2,M,16
GP,2,F,9
GP,3,F,11
GP,3,F,13
GP,3,M,16
GP,3,M,10
GP,3,F,13
MS,1,M,11
MS,2,M,8
MS,2,M,13
MS,1,M,8
MS,1,M,8
MS,2,M,13
MS,2,F,10
MS,2,F,12
MS,2,F,12
MS,1,M,10
MS,3,F,18
MS,2,F,13
MS,2,M,13
MS,2,F,11
MS,2,F,16
MS,2,F,12
MS,2,M,10
MS,3,M,13
MS,1,F,7
MS,1,F,11
MS,2,F,14
MS,2,F,7
MS,1,M,14
MS,3,F,13
MS,1,F,6
MS,3,F,19
MS,3,F,8
MS,3,F,15
MS,2,F,8
MS,2,F,15
MS,2,F,10
MS,2,M,15
MS,1,M,7
MS,2,M,11
MS,1,M,6
MS,1,M,6
MS,3,F,10
MS,1,F,6
MS,3,F,7
MS,2,F,7
MS,2,F,6
MS,2,M,9
MS,1,M,14
MS,1,M,10
MS,1,M,11
MS,1,M,8
